German	IPA	Vietnamese	Example	Translation
der Industrieingenieur	[ɪndʊsˈtʁiːˌɪnʒeˌnjøːɐ]	Kỹ sư công nghiệp (nam)	Số ít: [Welche Aufgaben hat der Industrieingenieur?] [ˈvɛlçə ˈaʊfɡaːbən hat deːɐ ɪndʊsˈtʁiːˌɪnʒeˌnjøːɐ] – [Der Industrieingenieur optimiert Produktionsprozesse.] [deːɐ ɪndʊsˈtʁiːˌɪnʒeˌnjøːɐ ɔptiˈmiːɐt pʁodʊkˈtsjoːnspʁoˌtsɛsə] \nSố nhiều: [Brauchen wir mehr Industrieingenieure?] [ˈbʁaʊxən viːɐ meːɐ ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁə] – [Ja, die Nachfrage nach Industrieingenieuren steigt.] [jaː diː ˈnaːxfʁaːɡə naːx ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁən ʃtaɪkt]	Số ít: "Kỹ sư công nghiệp có nhiệm vụ gì?" – "Kỹ sư công nghiệp tối ưu hóa quy trình sản xuất." \nSố nhiều: "Chúng ta có cần thêm kỹ sư công nghiệp không?" – "Có, nhu cầu về kỹ sư công nghiệp đang tăng."
die Industrieingenieurin	[ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁɪn]	Kỹ sư công nghiệp (nữ)	Số ít: [Wann wurde die Industrieingenieurin eingestellt?] [van ˈvʊʁdə diː ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁɪn ˈaɪnɡəʃtɛlt] – [Die Industrieingenieurin wurde letzten Monat eingestellt.] [diː ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁɪn ˈvʊʁdə ˈlɛtstən ˈmoːnat ˈaɪnɡəʃtɛlt] \nSố nhiều: [Gibt es genügend Industrieingenieurinnen im Team?] [ɡiːpt ɛs ɡəˈnyːɡənt ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁɪnən ɪm tiːm] – [Nein, wir suchen noch zwei Industrieingenieurinnen.] [naɪn viːɐ ˈzuːxən nɔx tsvaɪ ɪndʊsˈtʁiːˌɪnʒeˌnjøːʁɪnən]	Số ít: "Nữ kỹ sư công nghiệp được tuyển khi nào?" – "Nữ kỹ sư công nghiệp được tuyển vào tháng trước." \nSố nhiều: "Trong nhóm có đủ nữ kỹ sư công nghiệp không?" – "Không, chúng tôi còn đang tìm thêm hai nữ kỹ sư công nghiệp."
die Industrialisierung	[ɪndʊstʁialiˈziːʁʊŋ]	Công nghiệp hóa	Số ít: [Wann begann die Industrialisierung in Europa?] [van bəˈɡan diː ɪndʊstʁialiˈziːʁʊŋ ɪn ɔʏˈʁoːpa] – [Die Industrialisierung begann im 18. Jahrhundert.] [diː ɪndʊstʁialiˈziːʁʊŋ bəˈɡan ɪm ˈaxtseːntən jaːɐˈhʊndɐt] \nSố nhiều: [Gab es mehrere Industrialisierungswellen?] [ɡaːp ɛs ˈmeːʁəʁə ɪndʊstʁialiˈziːʁʊŋsˌvɛlən] – [Ja, es gab mehrere Industrialisierungsphasen.] [jaː ɛs ɡaːp ˈmeːʁəʁə ɪndʊstʁialiˈziːʁʊŋsˌfaːzən]	Số ít: "Công nghiệp hóa bắt đầu ở châu Âu khi nào?" – "Công nghiệp hóa bắt đầu vào thế kỷ 18." \nSố nhiều: "Có nhiều làn sóng công nghiệp hóa không?" – "Có, đã có nhiều giai đoạn công nghiệp hóa."
die Schwerindustrie	[ˈʃveːɐ̯ɪndʊstʁiː]	Công nghiệp nặng	Số ít: [Was zählt zur Schwerindustrie?] [vas tsɛlt tsuːɐ ˈʃveːɐ̯ɪndʊstʁiː] – [Zur Schwerindustrie gehören Stahl‑ und Bergbau.] [tsuːɐ ˈʃveːɐ̯ɪndʊstʁiː ɡəˈhøːʁən ˈʃtaːl ʊnt ˈbɛʁkbaʊ] \nSố nhiều: [Welche Schwerindustrien sind in der Region ansässig?] [ˈvɛlçə ˈʃveːɐ̯ɪndʊstʁiən zɪnt ɪn deːɐ ʁeˈɡjoːn ˈanzɛsɪç] – [Die Stahl‑ und die Werftindustrie sind wichtige Schwerindustrien.] [diː ˈʃtaːl ʊnt diː ˈvɛʁftɪndʊstʁiː zɪnt ˈvɪçtɪɡə ˈʃveːɐ̯ɪndʊstʁiən]	Số ít: "Những gì thuộc về công nghiệp nặng?" – "Công nghiệp nặng bao gồm thép và khai khoáng." \nSố nhiều: "Những ngành công nghiệp nặng nào có mặt trong vùng?" – "Ngành thép và đóng tàu là những ngành công nghiệp nặng quan trọng."
die Leichtindustrie	[ˈlaɪçtɪndʊstʁiː]	Công nghiệp nhẹ	Số ít: [Was produziert die Leichtindustrie?] [vas pʁoduˈtsiːɐt diː ˈlaɪçtɪndʊstʁiː] – [Die Leichtindustrie produziert Konsumgüter wie Textilien.] [diː ˈlaɪçtɪndʊstʁiː pʁoduˈtsiːɐt kɔnˈzuːmɡyːtɐ viː tɛksˈtiːliən] \nSố nhiều: [Welche Leichtindustrien wachsen stark?] [ˈvɛlçə ˈlaɪçtɪndʊstʁiən ˈvaksn̩ ʃtaʁk] – [Die Lebensmittel‑ und die Verpackungsindustrie wachsen stark.] [diː ˈleːbənsmɪtəl ʊnt diː fɛɐˈpakʊŋsɪndʊstʁiː ˈvaksn̩ ʃtaʁk]	Số ít: "Công nghiệp nhẹ sản xuất gì?" – "Công nghiệp nhẹ sản xuất hàng tiêu dùng như dệt may." \nSố nhiều: "Những ngành công nghiệp nhẹ nào đang tăng trưởng mạnh?" – "Ngành thực phẩm và bao bì đang tăng trưởng mạnh."
das verarbeitende Gewerbe	[fɛɐˈaʁbaɪtəndə ɡəˈvɛʁbə]	Công nghiệp chế biến, chế tạo	Số ít: [Was umfasst das verarbeitende Gewerbe?] [vas ˈʊmfast das fɛɐˈaʁbaɪtəndə ɡəˈvɛʁbə] – [Das verarbeitende Gewerbe umfasst die Herstellung von Waren.] [das fɛɐˈaʁbaɪtəndə ɡəˈvɛʁbə ˈʊmfast diː ˈheːɐʃtɛlʊŋ fɔn ˈvaːʁən] \nSố nhiều: [Welche verarbeitenden Gewerbe exportieren viel?] [ˈvɛlçə fɛɐˈaʁbaɪtəndən ɡəˈvɛʁbə ɛkspɔʁˈtiːʁən fiːl] – [Der Maschinenbau und die Chemie exportieren viel.] [deːɐ maˈʃiːnənbaʊ ʊnt diː çeˈmiː ɛkspɔʁˈtiːʁən fiːl]	Số ít: "Công nghiệp chế biến bao gồm những gì?" – "Công nghiệp chế biến bao gồm việc sản xuất hàng hóa." \nSố nhiều: "Những ngành chế biến nào xuất khẩu nhiều?" – "Ngành chế tạo máy và hóa chất xuất khẩu nhiều."
die Konsumgüterindustrie	[kɔnˈzuːmɡyːtɐɪndʊstʁiː]	Công nghiệp hàng tiêu dùng	Số ít: [Ist die Konsumgüterindustrie konjunkturabhängig?] [ɪst diː kɔnˈzuːmɡyːtɐɪndʊstʁiː kɔnjʊŋkˈtuːɐʔaphɛŋɪç] – [Ja, die Konsumgüterindustrie reagiert stark auf die Kaufkraft.] [jaː diː kɔnˈzuːmɡyːtɐɪndʊstʁiː ʁeaˈɡiːɐt ʃtaʁk aʊf diː ˈkaʊfkʁaft] \nSố nhiều: [Welche Konsumgüterindustrien sind hier vertreten?] [ˈvɛlçə kɔnˈzuːmɡyːtɐɪndʊstʁiən zɪnt hiːɐ fɛɐˈtʁeːtən] – [Die Textil‑ und die Elektronikindustrie sind stark vertreten.] [diː tɛksˈtiːl ʊnt diː elɛkˈtʁoːnɪkɪndʊstʁiː zɪnt ʃtaʁk fɛɐˈtʁeːtən]	Số ít: "Ngành hàng tiêu dùng có phụ thuộc vào chu kỳ kinh tế không?" – "Có, ngành hàng tiêu dùng phản ứng mạnh với sức mua." \nSố nhiều: "Những ngành hàng tiêu dùng nào hiện diện ở đây?" – "Ngành dệt may và điện tử hiện diện mạnh."
die Investitionsgüterindustrie	[ɪnvɛstiˈtsjoːnsɡyːtɐɪndʊstʁiː]	Công nghiệp tư liệu sản xuất	Số ít: [Was liefert die Investitionsgüterindustrie?] [vas ˈliːfɐt diː ɪnvɛstiˈtsjoːnsɡyːtɐɪndʊstʁiː] – [Die Investitionsgüterindustrie liefert Maschinen und Anlagen.] [diː ɪnvɛstiˈtsjoːnsɡyːtɐɪndʊstʁiː ˈliːfɐt maˈʃiːnən ʊnt ˈanlaːɡən] \nSố nhiều: [Welche Investitionsgüterindustrien profitieren vom Export?] [ˈvɛlçə ɪnvɛstiˈtsjoːnsɡyːtɐɪndʊstʁiən pʁofiˈtiːʁən fɔm ɛksˈpɔʁt] – [Der Maschinenbau und der Anlagenbau profitieren besonders.] [deːɐ maˈʃiːnənbaʊ ʊnt deːɐ ˈanlaːɡənbaʊ pʁofiˈtiːʁən bəˈzɔndɐs]	Số ít: "Ngành tư liệu sản xuất cung cấp cái gì?" – "Ngành tư liệu sản xuất cung cấp máy móc và thiết bị." \nSố nhiều: "Những ngành tư liệu sản xuất nào hưởng lợi từ xuất khẩu?" – "Ngành chế tạo máy và chế tạo thiết bị hưởng lợi đặc biệt."
die industrielle Produktion	[ɪndʊstʁiˈɛlə pʁodʊkˈtsjoːn]	Sản xuất công nghiệp	Số ít: [Steigt die industrielle Produktion?] [ʃtaɪkt diː ɪndʊstʁiˈɛlə pʁodʊkˈtsjoːn] – [Ja, die industrielle Produktion legte um 3 % zu.] [jaː diː ɪndʊstʁiˈɛlə pʁodʊkˈtsjoːn ˈleːktə ʊm dʁaɪ pʁoˈtsɛnt tsuː] \nSố nhiều: [Welche industriellen Produktionen sind energieintensiv?] [ˈvɛlçə ɪndʊstʁiˈɛlən pʁodʊkˈtsjoːnən zɪnt enɛʁˈɡiːʔɪntɛnziːf] – [Die Stahl‑ und die Zementproduktion sind energieintensiv.] [diː ˈʃtaːl ʊnt diː tseˈmɛntpʁodʊkˈtsjoːn zɪnt enɛʁˈɡiːʔɪntɛnziːf]	Số ít: "Sản xuất công nghiệp có tăng không?" – "Có, sản xuất công nghiệp đã tăng 3%." \nSố nhiều: "Những hoạt động sản xuất công nghiệp nào tiêu tốn nhiều năng lượng?" – "Sản xuất thép và xi măng tiêu tốn nhiều năng lượng."
die Fertigung	[ˈfɛʁtɪɡʊŋ]	Chế tạo / sản xuất	Số ít: [Wie läuft die Fertigung ab?] [viː lɔʏft diː ˈfɛʁtɪɡʊŋ ap] – [Die Fertigung erfolgt in mehreren Schritten.] [diː ˈfɛʁtɪɡʊŋ ɛɐˈfɔlkt ɪn ˈmeːʁəʁən ˈʃʁɪtən] \nSố nhiều: [Welche Fertigungen werden automatisiert?] [ˈvɛlçə ˈfɛʁtɪɡʊŋən ˈvɛʁdən aʊtɔmatiˈziːɐt] – [Die Serienfertigungen werden zunehmend automatisiert.] [diː ˈzeːʁiənˌfɛʁtɪɡʊŋən ˈvɛʁdən ˈtsuːneːmənt aʊtɔmatiˈziːɐt]	Số ít: "Quá trình chế tạo diễn ra như thế nào?" – "Việc chế tạo diễn ra qua nhiều bước." \nSố nhiều: "Những công đoạn chế tạo nào đang được tự động hóa?" – "Các công đoạn sản xuất hàng loạt đang ngày càng được tự động hóa."
die Herstellung	[ˈheːɐʃtɛlʊŋ]	Sản xuất	Số ít: [Woraus besteht die Herstellung?] [voːˈʁaʊs bəˈʃteːt diː ˈheːɐʃtɛlʊŋ] – [Die Herstellung umfasst Konstruktion und Montage.] [diː ˈheːɐʃtɛlʊŋ ˈʊmfast kɔnstʁʊkˈtsjoːn ʊnt mɔnˈtaːʒə] \nSố nhiều: [Welche Herstellungen erfordern Reinräume?] [ˈvɛlçə ˈheːɐʃtɛlʊŋən ɛɐˈfɔʁdɐn ˈʁaɪnʁɔʏmə] – [Die Halbleiterherstellungen erfordern Reinräume.] [diː ˈhalplaɪtɐˌheːɐʃtɛlʊŋən ɛɐˈfɔʁdɐn ˈʁaɪnʁɔʏmə]	Số ít: "Quá trình sản xuất bao gồm những gì?" – "Quá trình sản xuất bao gồm thiết kế và lắp ráp." \nSố nhiều: "Những công đoạn sản xuất nào đòi hỏi phòng sạch?" – "Các công đoạn sản xuất bán dẫn đòi hỏi phòng sạch."
der Produktionsprozess	[pʁodʊkˈtsjoːnspʁoˌtsɛs]	Quy trình sản xuất	Số ít: [Ist der Produktionsprozess dokumentiert?] [ɪst deːɐ pʁodʊkˈtsjoːnspʁoˌtsɛs dokumɛnˈtiːɐt] – [Ja, der gesamte Produktionsprozess ist dokumentiert.] [jaː deːɐ ɡəˈzamtə pʁodʊkˈtsjoːnspʁoˌtsɛs ɪst dokumɛnˈtiːɐt] \nSố nhiều: [Welche Produktionsprozesse werden digital überwacht?] [ˈvɛlçə pʁodʊkˈtsjoːnspʁoˌtsɛsə ˈvɛʁdən diɡiˈtaːl ˌyːbɐˈvaxt] – [Alle Produktionsprozesse in der neuen Halle werden digital überwacht.] [ˈalə pʁodʊkˈtsjoːnspʁoˌtsɛsə ɪn deːɐ ˈnɔʏən ˈhalə ˈvɛʁdən diɡiˈtaːl ˌyːbɐˈvaxt]	Số ít: "Quy trình sản xuất đã được lập thành tài liệu chưa?" – "Có, toàn bộ quy trình sản xuất đã được lập thành tài liệu." \nSố nhiều: "Những quy trình sản xuất nào được giám sát kỹ thuật số?" – "Tất cả quy trình sản xuất trong phân xưởng mới đều được giám sát kỹ thuật số."
die Produktionslinie	[pʁodʊkˈtsjoːnsˌliːniə]	Dây chuyền sản xuất	Số ít: [Wie viele Roboter arbeiten an der Produktionslinie?] [viː ˈfiːlə ˈʁɔbɔtɐ ˈaʁbaɪtən an deːɐ pʁodʊkˈtsjoːnsˌliːniə] – [An der Produktionslinie arbeiten sechs Roboter.] [an deːɐ pʁodʊkˈtsjoːnsˌliːniə ˈaʁbaɪtən zɛks ˈʁɔbɔtɐ] \nSố nhiều: [Sind die Produktionslinien ausgelastet?] [zɪnt diː pʁodʊkˈtsjoːnsˌliːniən ˈaʊsɡəlastət] – [Ja, die Produktionslinien laufen im Dreischichtbetrieb.] [jaː diː pʁodʊkˈtsjoːnsˌliːniən ˈlaʊfən ɪm ˈdʁaɪʃɪçtbəˌtʁiːp]	Số ít: "Có bao nhiêu robot làm việc trên dây chuyền sản xuất?" – "Trên dây chuyền sản xuất có sáu robot đang làm việc." \nSố nhiều: "Các dây chuyền sản xuất có hoạt động hết công suất không?" – "Có, các dây chuyền sản xuất chạy ba ca."
die Montagelinie	[mɔnˈtaːʒəˌliːniə]	Dây chuyền lắp ráp	Số ít: [An welcher Montagelinie wird das Modul montiert?] [an ˈvɛlçɐ mɔnˈtaːʒəˌliːniə vɪʁt das moˈduːl mɔnˈtiːɐt] – [An Montagelinie 3 wird das Modul montiert.] [an mɔnˈtaːʒəˌliːniə dʁaɪ vɪʁt das moˈduːl mɔnˈtiːɐt] \nSố nhiều: [Wie viele Montagelinien gibt es im Werk?] [viː ˈfiːlə mɔnˈtaːʒəˌliːniən ɡiːpt ɛs ɪm vɛʁk] – [Das Werk hat vier Montagelinien für verschiedene Produkte.] [das vɛʁk hat fiːɐ mɔnˈtaːʒəˌliːniən fyːɐ fɛɐˈʃiːdənə pʁoˈdʊktə]	Số ít: "Mô-đun được lắp ráp ở dây chuyền lắp ráp nào?" – "Mô-đun được lắp ráp ở dây chuyền lắp ráp số 3." \nSố nhiều: "Nhà máy có bao nhiêu dây chuyền lắp ráp?" – "Nhà máy có bốn dây chuyền lắp ráp cho các sản phẩm khác nhau."
